route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_type,trip_footnote
16,hjun2501-Weekday-4-JU2025-1111100,4227099,"Quonset",1,457829,160023,0,
16,hjun2501-Weekday-4-JU2025-1111100,4227100,"CCRI Warwick",0,457829,160026,0,
16,hjun2501-Weekday-4-JU2025-1111100,4227101,"Quonset",1,457828,160023,0,
16,hjun2501-Weekday-4-JU2025-1111100,4227102,"CCRI Warwick",0,457828,160026,0,
16,hjun2501-Weekday-4-JU2025-1111100,4227103,"Quonset",1,457829,160023,0,
16,hjun2501-Weekday-4-JU2025-1111100,4227104,"CCRI Warwick",0,457829,160026,0,
16,hjun2501-Weekday-4-JU2025-1111100,4227105,"Quonset",1,457828,160023,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227107,"Kennedy Plaza via Reservoir Ave",0,457725,210041,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227108,"Kennedy Plaza via Reservoir Ave",0,457726,210041,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227109,"Kennedy Plaza via Reservoir Ave",0,457727,210041,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227110,"Kennedy Plaza via Reservoir Ave",0,457725,210041,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227111,"Kennedy Plaza via Reservoir Ave",0,457726,210041,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227112,"Kennedy Plaza via Reservoir Ave",0,457727,210041,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227113,"Kennedy Plaza via Reservoir Ave",0,457725,210041,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227114,"Kennedy Plaza via Reservoir Ave",0,457726,210041,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227115,"Kennedy Plaza via Reservoir Ave",0,457727,210041,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227116,"Kennedy Plaza via Reservoir Ave",0,457725,210041,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227117,"Kennedy Plaza via Reservoir Ave",0,457726,210041,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227118,"Kennedy Plaza via Reservoir Ave",0,457727,210041,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227119,"Kennedy Plaza via Reservoir Ave",0,457725,210041,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227120,"Kennedy Plaza via Reservoir Ave",0,457726,210041,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227121,"Kennedy Plaza via Reservoir Ave",0,457727,210041,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227122,"Kennedy Plaza via Reservoir Ave",0,457725,210041,0,
21,hjun2501-Weekday-4-JU2025-1111100,4227123,"Kennedy Plaza via Reservoir Ave",0,457726,210041,0,
